candidate_id,rank,score,reasoning
CAND_0002025,1,124.513,"Demonstrates 5.9 years of experience, currently active as a senior backend/ML engineer (Senior AI Engineer) at Apple. Currently located in Trivandrum, Kerala. An excellent fit for the founding role, showcasing deep proficiency in OpenSearch, FAISS and experience in LLM fine-tuning. Excellent availability signals and a 80% response rate. Stated notice period is 30 days."
CAND_0011687,2,122.921,"Demonstrates 7.8 years of experience, currently active as a senior backend/ML engineer (Senior NLP Engineer) at Niramai. Operating from Indore, Madhya Pradesh. They demonstrate outstanding technical command over OpenSearch, Embeddings and experience in LLM fine-tuning, making them a top-tier fit for the founding team. Excellent availability signals and a 89% response rate. Stated notice period is 15 days."
CAND_0077337,3,117.151,"A senior backend/ML engineer offering 7.0 years of experience, presently working as Staff Machine Learning Engineer at Paytm. Displays exceptional hands-on expertise in BM25, Information Retrieval and experience in LLM fine-tuning, aligning perfectly with our core technical needs. Willing to relocate to Noida/Pune from Kochi, Kerala. Very active candidate showing a 95% recruiter response rate. Stated notice period is 60 days."
CAND_0046064,4,114.377,"A highly experienced expert offering 8.9 years of experience, presently working as Senior NLP Engineer at Salesforce. They demonstrate outstanding technical command over BM25, OpenSearch and experience in LLM fine-tuning, making them a top-tier fit for the founding team. Based out of Coimbatore, Tamil Nadu. Strong platform engagement with a 78% response rate. Stated notice period is 30 days."
CAND_0018499,5,113.204,"Demonstrates 7.2 years of experience, currently active as a senior backend/ML engineer (Senior Machine Learning Engineer) at Zomato. Based locally in Pune/Noida, perfect for our current office cadence. Displays exceptional hands-on expertise in Information Retrieval, Embeddings and experience in LLM fine-tuning, aligning perfectly with our core technical needs. Very active candidate showing a 61% recruiter response rate. Stated notice period is 15 days."
CAND_0046525,6,111.374,"An excellent fit for the founding role, showcasing deep proficiency in Elasticsearch, Information Retrieval. Brings 6.1 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Machine Learning Engineer with Genpact AI. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Strong platform engagement with a 88% response rate. Stated notice period is 60 days."
CAND_0081846,7,110.022,"They demonstrate outstanding technical command over Information Retrieval, Elasticsearch and experience in learning-to-rank models, making them a top-tier fit for the founding team. Brings 6.7 years of industry experience as a senior backend/ML engineer, currently holding the role of Lead AI Engineer with Razorpay. Open to relocating from Jaipur, Rajasthan to Noida/Pune office. Very active candidate showing a 73% recruiter response rate. Stated notice period is 30 days."
CAND_0055905,8,105.059,"An excellent fit for the founding role, showcasing deep proficiency in Elasticsearch, OpenSearch and experience in LLM fine-tuning. Brings 8.1 years of industry experience as a highly experienced expert, currently holding the role of Senior Machine Learning Engineer with Flipkart. Operating from London. Very active candidate showing a 87% recruiter response rate. Stated notice period is 30 days."
CAND_0077498,9,102.503,"A senior backend/ML engineer offering 5.4 years of experience, presently working as Senior Software Engineer (ML) at Niramai. An excellent fit for the founding role, showcasing deep proficiency in Embeddings, Elasticsearch. Currently located in Ahmedabad, Gujarat. Strong platform engagement with a 89% response rate. Stated notice period is 60 days."
CAND_0071974,10,101.926,"A senior backend/ML engineer offering 7.8 years of experience, presently working as Senior AI Engineer at Netflix. Displays exceptional hands-on expertise in BM25, Information Retrieval and experience in LLM fine-tuning, aligning perfectly with our core technical needs. Operating from Vizag, Andhra Pradesh. Strong platform engagement with a 76% response rate. Stated notice period is 45 days."
CAND_0067866,11,101.674,"A senior backend/ML engineer offering 6.4 years of experience, presently working as Senior Software Engineer (ML) at Tech Mahindra. Strong match for the JD, showcasing solid skills in Embeddings, Elasticsearch and experience in LLM fine-tuning. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Excellent availability signals and a 79% response rate. Stated notice period is 45 days."
CAND_0068932,12,100.649,"Demonstrates 5.2 years of experience, currently active as a senior backend/ML engineer (ML Engineer) at Krutrim. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. Strong match for the JD, showcasing solid skills in OpenSearch, Milvus. Strong platform engagement with a 82% response rate. Stated notice period is 30 days."
CAND_0093912,13,100.621,"A senior backend/ML engineer offering 5.3 years of experience, presently working as Senior Data Scientist at Razorpay. Strong match for the JD, showcasing solid skills in Embeddings, Vector Search and experience in learning-to-rank models. Currently located in Chandigarh, Chandigarh. Very active candidate showing a 66% recruiter response rate. Stated notice period is 30 days."
CAND_0073314,14,99.060,"Strong match for the JD, showcasing solid skills in Elasticsearch, Milvus and experience in LLM fine-tuning. Brings 5.2 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Software Engineer (ML) with Aganitha. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. Very active candidate showing a 84% recruiter response rate. Stated notice period is 60 days."
CAND_0052328,15,98.087,"Demonstrates 6.5 years of experience, currently active as a senior backend/ML engineer (Recommendation Systems Engineer) at Amazon. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. Highly skilled in OpenSearch, Vector Search and experience in LLM fine-tuning, aligning well with our technical stack. Excellent availability signals and a 79% response rate. Stated notice period is 30 days."
CAND_0053605,16,97.572,"Strong match for the JD, showcasing solid skills in BM25, GANs. Brings 6.9 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Software Engineer (ML) with Verloop.io. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Very active candidate showing a 88% recruiter response rate. Stated notice period is 30 days."
CAND_0049538,17,97.285,"Demonstrates 5.8 years of experience, currently active as a senior backend/ML engineer (Applied ML Engineer) at Saarthi.ai. Based out of Jaipur, Rajasthan. Strong match for the JD, showcasing solid skills in OpenSearch, Vector Search and experience in LLM fine-tuning. Very active candidate showing a 72% recruiter response rate. Stated notice period is 30 days."
