candidate_id,rank,score,reasoning
CAND_0002025,1,123.282,"An excellent fit for the founding role, showcasing deep proficiency in OpenSearch, FAISS and experience in LLM fine-tuning. Brings 5.9 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior AI Engineer with Apple. Currently located in Trivandrum, Kerala. Excellent availability signals and a 80% response rate. Stated notice period is 30 days."
CAND_0011687,2,122.410,"A senior backend/ML engineer offering 7.8 years of experience, presently working as Senior NLP Engineer at Niramai. Displays exceptional hands-on expertise in OpenSearch, Embeddings and experience in LLM fine-tuning, aligning perfectly with our core technical needs. Operating from Indore, Madhya Pradesh. Strong platform engagement with a 89% response rate. Stated notice period is 15 days."
CAND_0068932,3,117.627,"Demonstrates 5.2 years of experience, currently active as a senior backend/ML engineer (ML Engineer) at Krutrim. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. An excellent fit for the founding role, showcasing deep proficiency in OpenSearch, Milvus. Very active candidate showing a 82% recruiter response rate. Stated notice period is 30 days."
CAND_0077337,4,115.061,"An excellent fit for the founding role, showcasing deep proficiency in BM25, Information Retrieval and experience in LLM fine-tuning. Brings 7.0 years of industry experience as a senior backend/ML engineer, currently holding the role of Staff Machine Learning Engineer with Paytm. Willing to relocate to Noida/Pune from Kochi, Kerala. Strong platform engagement with a 95% response rate. Stated notice period is 60 days."
CAND_0046064,5,114.699,"A highly experienced expert offering 8.9 years of experience, presently working as Senior NLP Engineer at Salesforce. They demonstrate outstanding technical command over BM25, OpenSearch and experience in LLM fine-tuning, making them a top-tier fit for the founding team. Operating from Coimbatore, Tamil Nadu. Strong platform engagement with a 78% response rate. Stated notice period is 30 days."
CAND_0018499,6,113.500,"Demonstrates 7.2 years of experience, currently active as a senior backend/ML engineer (Senior Machine Learning Engineer) at Zomato. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. They demonstrate outstanding technical command over Information Retrieval, Embeddings and experience in LLM fine-tuning, making them a top-tier fit for the founding team. Very active candidate showing a 61% recruiter response rate. Stated notice period is 15 days."
CAND_0000031,7,112.752,"Demonstrates 6.0 years of experience, currently active as a senior backend/ML engineer (Recommendation Systems Engineer) at Swiggy. Based in Hyderabad, Telangana but willing to relocate to target office. They demonstrate outstanding technical command over Embeddings, Information Retrieval, making them a top-tier fit for the founding team. Very active candidate showing a 91% recruiter response rate. Stated notice period is 60 days."
CAND_0046525,8,111.779,"Demonstrates 6.1 years of experience, currently active as a senior backend/ML engineer (Senior Machine Learning Engineer) at Genpact AI. Based locally in Pune/Noida, perfect for our current office cadence. They demonstrate outstanding technical command over Elasticsearch, Information Retrieval, making them a top-tier fit for the founding team. Strong platform engagement with a 88% response rate. Stated notice period is 60 days."
CAND_0049538,9,111.523,"A senior backend/ML engineer offering 5.8 years of experience, presently working as Applied ML Engineer at Saarthi.ai. They demonstrate outstanding technical command over OpenSearch, Vector Search and experience in LLM fine-tuning, making them a top-tier fit for the founding team. Currently located in Jaipur, Rajasthan. Very active candidate showing a 72% recruiter response rate. Stated notice period is 30 days."
CAND_0099806,10,111.473,"A backend/ML professional offering 4.6 years of experience, presently working as AI Engineer at Mad Street Den. Displays exceptional hands-on expertise in Embeddings, Elasticsearch and experience in LLM fine-tuning, aligning perfectly with our core technical needs. Willing to relocate to Noida/Pune from Bhubaneswar, Odisha. Very active candidate showing a 76% recruiter response rate. Stated notice period is 30 days."
CAND_0052328,11,109.968,"A senior backend/ML engineer offering 6.5 years of experience, presently working as Recommendation Systems Engineer at Amazon. Strong match for the JD, showcasing solid skills in OpenSearch, Vector Search and experience in LLM fine-tuning. Based locally in Pune/Noida, perfect for our current office cadence. Strong platform engagement with a 79% response rate. Stated notice period is 30 days."
CAND_0042506,12,107.487,"A backend/ML professional offering 4.2 years of experience, presently working as Search Engineer at Verloop.io. Demonstrates strong hands-on capabilities in Information Retrieval, Milvus and experience in LLM fine-tuning. Based out of Mumbai, Maharashtra. Strong platform engagement with a 48% response rate. Stated notice period is 15 days."
CAND_0065195,13,106.951,"A senior backend/ML engineer offering 5.1 years of experience, presently working as Search Engineer at CRED. Demonstrates strong hands-on capabilities in Elasticsearch, Qdrant and experience in LLM fine-tuning. Currently located in Kolkata, West Bengal. Strong platform engagement with a 80% response rate. Stated notice period is 45 days."
CAND_0081846,14,105.987,"Demonstrates strong hands-on capabilities in Information Retrieval, Elasticsearch and experience in learning-to-rank models. Brings 6.7 years of industry experience as a senior backend/ML engineer, currently holding the role of Lead AI Engineer with Razorpay. Willing to relocate to Noida/Pune from Jaipur, Rajasthan. Strong platform engagement with a 73% response rate. Stated notice period is 30 days."
CAND_0048558,15,105.459,"Strong match for the JD, showcasing solid skills in Information Retrieval, OpenSearch and experience in distributed search scaling. Brings 6.7 years of industry experience as a senior backend/ML engineer, currently holding the role of Data Scientist with Rephrase.ai. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. Very active candidate showing a 80% recruiter response rate. Stated notice period is 30 days."
CAND_0036184,16,104.452,"Demonstrates 6.0 years of experience, currently active as a senior backend/ML engineer (Recommendation Systems Engineer) at CRED. Operating from Trivandrum, Kerala. Strong match for the JD, showcasing solid skills in Embeddings, Vector Search and experience in LLM fine-tuning. Strong platform engagement with a 90% response rate. Stated notice period is 30 days."
CAND_0026942,17,104.394,"A senior backend/ML engineer offering 6.0 years of experience, presently working as Junior ML Engineer at Verloop.io. Highly skilled in Information Retrieval, TensorFlow and experience in learning-to-rank models, aligning well with our technical stack. Based in Chandigarh, Chandigarh but willing to relocate to target office. Strong platform engagement with a 84% response rate. Stated notice period is 30 days."
CAND_0041610,18,104.346,"Strong match for the JD, showcasing solid skills in Elasticsearch, OpenSearch and experience in LLM fine-tuning. Brings 6.7 years of industry experience as a senior backend/ML engineer, currently holding the role of Recommendation Systems Engineer with Zoho. Open to relocating from Indore, Madhya Pradesh to Noida/Pune office. Excellent availability signals and a 52% response rate. Stated notice period is 30 days."
CAND_0077498,19,103.740,"A senior backend/ML engineer offering 5.4 years of experience, presently working as Senior Software Engineer (ML) at Niramai. Demonstrates strong hands-on capabilities in Embeddings, Elasticsearch. Based out of Ahmedabad, Gujarat. Very active candidate showing a 89% recruiter response rate. Stated notice period is 60 days."
CAND_0002120,20,103.696,"A senior backend/ML engineer offering 6.5 years of experience, presently working as ML Engineer at HCL. Highly skilled in Information Retrieval, Embeddings, aligning well with our technical stack. Currently located in Berlin. Very active candidate showing a 72% recruiter response rate. Stated notice period is 45 days."
CAND_0067866,21,103.677,"Highly skilled in Embeddings, Elasticsearch and experience in LLM fine-tuning, aligning well with our technical stack. Brings 6.4 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Software Engineer (ML) with Tech Mahindra. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Very active candidate showing a 79% recruiter response rate. Stated notice period is 45 days."
CAND_0064326,22,103.631,"Strong match for the JD, showcasing solid skills in BM25, Milvus and experience in LLM fine-tuning. Brings 7.6 years of industry experience as a senior backend/ML engineer, currently holding the role of Search Engineer with Sarvam AI. Operating from Gurgaon, Haryana. Strong platform engagement with a 94% response rate. Stated notice period is 45 days."
CAND_0037566,23,103.521,"Demonstrates strong hands-on capabilities in BM25, Elasticsearch and experience in LLM fine-tuning. Brings 6.9 years of industry experience as a senior backend/ML engineer, currently holding the role of Machine Learning Engineer with LinkedIn. Willing to relocate to Noida/Pune from Bangalore, Karnataka. Strong platform engagement with a 50% response rate. Stated notice period is 15 days."
CAND_0008295,24,103.214,"Highly skilled in BM25, Weaviate and experience in LLM fine-tuning, aligning well with our technical stack. Brings 6.5 years of industry experience as a senior backend/ML engineer, currently holding the role of AI Research Engineer with Razorpay. Based locally in Pune/Noida, perfect for our current office cadence. Strong platform engagement with a 89% response rate. Stated notice period is 45 days."
CAND_0006418,25,103.212,"Demonstrates 5.7 years of experience, currently active as a senior backend/ML engineer (Machine Learning Engineer) at Verloop.io. Based in Gurgaon, Haryana but willing to relocate to target office. Demonstrates strong hands-on capabilities in Embeddings, Elasticsearch and experience in learning-to-rank models. Strong platform engagement with a 92% response rate. Stated notice period is 60 days."
